Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Action__c,Comments__c,Cost__c,Form__c,Observation__c,Priority__c,Question__c,Work_Order__c,Sequence__c,Service_Template_Section__c,Action_rtf__c,Observation_rtf__c,Question_rtf__c,Action_Guidance__c,Observation_Guidance__c,Question_Guidance__c,Complete__c,Question_Number__c,Action10__c,Action2__c,Action3__c,Action4__c,Action5__c,Action6__c,Action7__c,Action8__c,Action9__c,Observation10__c,Observation2__c,Observation3__c,Observation4__c,Observation5__c,Observation6__c,Observation7__c,Observation8__c,Observation9__c,Overall_Priority__c,Priority10__c,Priority2__c,Priority3__c,Priority4__c,Priority5__c,Priority6__c,Priority7__c,Priority8__c,Priority9__c,Question_Set__c,Sortorder__c,Status__c,Overall_Priority_Water__c,Priority10_Water__c,Priority2_Water__c,Priority3_Water__c,Priority4_Water__c,Priority5_Water__c,Priority6_Water__c,Priority7_Water__c,Priority8_Water__c,Priority9_Water__c,Priority_Water__c,Use_Water_Priority_Picklist__c,Use_Action__c,Image_Question_Refs__c,HasAction__c,STS_Exclude__c,Exclude_Form__c,Action_Summary_Form__c,QuestionSet_Question__c,QS_Question_Number__c,Trace_Action__c,Trace_Observation__c,Case__c,Case2__c,Case3__c,Case4__c,Case5__c,Case6__c,Case7__c,Case8__c,Case9__c,Case10__c,Existing_Case1__c,Existing_Case2__c,Existing_Case3__c,Existing_Case4__c,Existing_Case5__c,Existing_Case6__c,CloseComment1__c,CloseComment2__c,CloseComment3__c,CloseComment4__c,CloseComment5__c,CloseComment6__c,HasExistingCases__c,CloseComment7__c,CloseComment8__c,CloseComment9__c,CloseComment10__c,PlanStudio_IconType__c,PlanStudio_Plancode__c,PlanStudio_Question_Key__c,Position__Latitude__s,Position__Longitude__s,Position__c,What3Words__c
a44R500001dtDgZIAU,0054J000000blVjQAI,false,RAQ-2610663,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,The cistern should be lagged / insulated against extreme environmental conditions.,,,a3aR5000001QGmvIAG,The cold water storage cistern(s) CWS-01 located in assessor to describe is inadequately lagged / insulated.,N/A,Are the cold water storage cistern(s) located in a cool place and adequately insulated to reduce the effects of extreme temperatures?,0WOSk000007nqizOAA,5,a3y4L000000XqMLQA0,,,,,,,false,2.5,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph4QAC,02.05,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Are the cold water storage cistern(s) located in a cool place and adequately insulated to reduce the effects of extreme temperatures?,2.5,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgaIAE,0054J000000blVjQAI,false,RAQ-2610664,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Fit / Replace isolation valve(s) to the pipework for maintenance or safety purposes,,,a3aR5000001QGmvIAG,Cistern inlet /  outlet pipework is / are not valved to enable safe Isolation and maintenance.,N/A,Is inlet and outlet pipework to the cistern valved to facilitate maintenance?,0WOSk000007nqizOAA,6,a3y4L000000XqMLQA0,,,,,,,false,2.6,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph5QAC,02.06,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Is inlet and outlet pipework to the cistern valved to facilitate maintenance?,2.6,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgbIAE,0054J000000blVjQAI,false,RAQ-2610665,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"Replace the hollow structural pipe/support with a suitable, solid structural support with all materials being WRAS approved.",,,a3aR5000001QGmvIAG,"A hollow tube structural support is fitted to the sectional glass reinforced plastic cold water storage cistern (CWS-01) located within the assessor to describe. These supports are fitted to prevent the lid/roof of the cistern from sagging, however, they can fill with water which over time becomes stagnant then leaches into the stored water – thus causing water contamination. This contamination can be worse during high demand periods as the level of water drops which allows the stagnant water within the hollow tube to contaminate system further.",N/A,Are cisterns fitted with tight fitting lids?,0WOSk000007nqizOAA,7,a3y4L000000XqMLQA0,,,,,,,false,2.7,,The cistern should be fitted with a tight fitting lid to prevent aerial contamination. It should be ensured that all materials comply with the WRc / WRAS Approved Materials Directory.,,,,,,,,,Cold water storage cistern 1 (CWS-01) located in assessor to describe does not comply with paragraph 16 schedule 2 of The Water Supply (Water Fittings) Regulations 1999.,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph6QAC,02.07,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Are cisterns fitted with tight fitting lids?,2.7,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgcIAE,0054J000000blVjQAI,false,RAQ-2610666,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Improve /  Fit access panel to the cistern(s) to allow general inspections and monitoring purposes.,,,a3aR5000001QGmvIAG,The cistern(s) do / does not have a suitable inspection hatch therefore not accessible for general inspection.,N/A,"Where applicable, are cisterns fitted with inspection hatches?",0WOSk000007nqizOAA,8,a3y4L000000XqMLQA0,,,,,,,false,2.8,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph7QAC,02.08,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,"Where applicable, are cisterns fitted with inspection hatches?",2.8,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgdIAE,0054J000000blVjQAI,false,RAQ-2610667,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Ensure the cistern inlet float valve is correctly positioned and fitted in relationship to warning or overflow pipework,,,a3aR5000001QGmvIAG,The cold water storage cistern CWS-01 inlet float valve does not comply with BS 1212.,N/A,Does the float operated valve comply with BS 1212?,0WOSk000007nqizOAA,9,a3y4L000000XqMLQA0,,,,,,,false,2.9,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph8QAC,02.09,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Does the float operated valve comply with BS 1212?,2.9,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgeIAE,0054J000000blVjQAI,false,RAQ-2610668,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Temperatures ranging between 38 – 42oC  +/- 1oC should be maintained where thermostatic mixing valves are utilised to prevent scalding of users.,,,a3aR5000001QGq9IAG,"At the time of the Risk Assessment survey, temperature from the Accessible Toilet Thermostatic Mixer Tap achieved temperature of  xx oC thus posing a risk of scalding to users.",N/A,Do temperatures range between 38oC – 42oC where thermostatic mixer taps or valves are utilised to prevent scalding of users?,0WOSk000007nqizOAA,2,a3y4L000000XqMkQAK,,,,,,,false,4.2,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph9QAC,04.02,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Do temperatures range between 38oC – 42oC where thermostatic mixer taps or valves are utilised to prevent scalding of users?,4.2,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgfIAE,0054J000000blVjQAI,false,RAQ-2610669,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Consider fitting Type 3 fail safety function should there be a disruption to either the hot or cold water supply thus preventing scalding risk.,,,a3aR5000001QGq9IAG,At the time of the risk assessment mixer taps or valves fitted to the assisted bath / HWB located within the communal bathroom (to be used in healthcare premises) were not to the correct standard.,N/A,Are mixer taps or valves approved Type 3 fail safe?,0WOSk000007nqizOAA,3,a3y4L000000XqMkQAK,,,,,,,false,4.3,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LphAQAS,04.03,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Are mixer taps or valves approved Type 3 fail safe?,4.3,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDggIAE,0054J000000blVjQAI,false,RAQ-2610670,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"The strainers or filters associated with the TMVs should be inspected, clean, descaled and disinfected annually. This includes a visual inspection to identify reduced flow of the water or operation of the TMV and a fail safe of the TMV. Where the cold water feed to the TMV is isolated, the TMV must prevent discharge of hot water.",,,a3aR5000001QGq9IAG,There are no records to indicate that the TMVs are subject to regular inspection and maintenance.,N/A,Are the Thermostatic Mixing Valves (TMVs) subject to regular inspection and maintenance?,0WOSk000007nqizOAA,4,a3y4L000000XqMkQAK,,,,,,,false,4.4,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LphBQAS,04.04,Not Done,Low,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low,true,,,true,,false,,Are the Thermostatic Mixing Valves (TMVs) subject to regular inspection and maintenance?,4.4,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDghIAE,0054J000000blVjQAI,false,RAQ-2610671,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"Remove the TMV described, ensuring that no blind ends or dead legs remain and that temperatures do not exceed the recommended limit of 60oC. If temperatures do exceed 60oC, consideration must be taken to fit “Caution Very Hot Water” labels to the appropriate outlets. Alternatively, where a risk of scalding is still deemed high, consideration should be given where practicable to incorporate TMVs directly in the tap fitting, as mixing at the point of the outlet is preferable.",,,a3aR5000001QGq9IAG,"At the time of the Risk Assessment, TMV-01 within the assessor to describe was no longer required. The risk of scalding was deemed to be insignificant as temperatures to the TMV were found to be at less than 60oC. Potential increase of legionella proliferation can be found within the blended water downstream of the TMV, particularly where a singular TMV is serving multiple outlets. ",N/A,Has consideration been given to removing TMV’s in areas where the consequence of scalding is less than the potential risk of legionella infection?,0WOSk000007nqizOAA,5,a3y4L000000XqMkQAK,,,,,,,false,4.5,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LphCQAS,04.05,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Has consideration been given to removing TMV’s in areas where the consequence of scalding is less than the potential risk of legionella infection?,4.5,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgiIAE,0054J000000blVjQAI,false,RAQ-2610672,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"Flush the shower unit on a weekly basis for a period of two minutes. Alternatively, the shower should be removed and the supplied pipework cut back at it point of connection with existing services and capped off such that no deadleg/blind end remains. All such actions must be recorded into an appropriate domestic water services logbook.",,,a3aR5000001QGtNIAW,The electric shower unit within the ground floor office suite shower room is used as storage and as such is deemed low usage.,N/A,This section is not applicable to this property.,0WOSk000007nqizOAA,1,a3y4L000000XqMMQA0,,,,,,,false,5.1,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LphDQAS,05.01,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,"Where showers are fitted, are they are used at least weekly?",5.1,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgjIAE,0054J000000blVjQAI,false,RAQ-2610673,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Ensure the shower unit is removed the and cut back supply pipework to its point of connection with existing services such that no deadleg remains.,,,a3aR5000001QGtNIAW,At the time of the risk assessment shower unit located within the Shower room was found to be isolated and not in use.,N/A,Have infrequently used showers been removed and capped off as close to the point of supply as possible?,0WOSk000007nqizOAA,2,a3y4L000000XqMMQA0,,,,,,,false,5.2,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LphEQAS,05.02,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Have infrequently used showers been removed and capped off as close to the point of supply as possible?,5.2,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
